Country,DeepSeek
China,100
Tuvalu,
Macao,
Hong Kong,30
Singapore,23
Somalia,
Taiwan,13
Nepal,11
Canada,11
Morocco,10
Liechtenstein,
Tunisia,10
Andorra,
Western Sahara,
Bermuda,
St. Helena,
Ethiopia,
Maldives,
Luxembourg,
Israel,9
Kenya,9
Myanmar (Burma),
Malaysia,8
United Arab Emirates,8
Switzerland,8
Cayman Islands,
Djibouti,
Estonia,
Gibraltar,
Lebanon,
British Virgin Islands,
Yemen,
Jordan,7
Algeria,7
Bahrain,
Norway,7
Mauritania,
Palestine,
Malta,
Cyprus,
Madagascar,
Qatar,
New Zealand,7
Iceland,
South Korea,7
Portugal,7
Kosovo,
Sweden,7
Albania,
Solomon Islands,
Australia,6
North Macedonia,
United States,6
Finland,6
Spain,6
Germany,6
Rwanda,
Netherlands,6
Slovenia,
Egypt,6
Ghana,
Ireland,6
Austria,6
Oman,
Botswana,
Isle of Man,
Denmark,5
Jersey,
Belgium,5
Mongolia,
United Kingdom,5
Benin,
Saudi Arabia,5
Kuwait,
Nigeria,5
Latvia,
Brunei,
Zimbabwe,
Seychelles,
Mauritius,
Cambodia,
Libya,
Pakistan,5
Aruba,
Togo,
Barbados,
Sri Lanka,
Dominica,
Bhutan,
Romania,5
St. Lucia,
Argentina,4
Senegal,
U.S. Virgin Islands,
Greece,4
Trinidad & Tobago,
Uruguay,
Lithuania,
St. Kitts & Nevis,
Thailand,4
Curaçao,
Malawi,
Åland Islands,
Bulgaria,4
Grenada,
Guernsey,
Gambia,
Cape Verde,
French Polynesia,
South Sudan,
Brazil,4
Burkina Faso,
Faroe Islands,
Russia,4
Croatia,
Jamaica,
Georgia,
Türkiye,4
Sint Maarten,
Chile,4
Panama,
Montenegro,
Zambia,
Italy,4
Czechia,4
Turks & Caicos Islands,
Armenia,
Antigua & Barbuda,
Colombia,3
Namibia,
Bahamas,
Côte d’Ivoire,
Costa Rica,
Poland,3
Peru,3
Bolivia,
Bangladesh,3
Eswatini,
India,3
Hungary,3
South Africa,3
Caribbean Netherlands,
Moldova,
Serbia,
France,3
Equatorial Guinea,
Iraq,
Sudan,
Guinea,
Chad,
Ukraine,3
Suriname,
Uganda,
Fiji,
Ecuador,3
Tanzania,
Puerto Rico,
Japan,3
Lesotho,
St. Vincent & Grenadines,
Guyana,
Sierra Leone,
New Caledonia,
Bosnia & Herzegovina,
Papua New Guinea,
Cameroon,
Syria,
Haiti,
San Marino,
Liberia,
El Salvador,
Northern Mariana Islands,
Belize,
Iran,3
Cuba,
Niger,
Slovakia,
Belarus,
Azerbaijan,
Paraguay,
Dominican Republic,
Congo - Brazzaville,
Afghanistan,
Vietnam,2
St. Barthélemy,
Martinique,
Laos,
Mexico,2
Guadeloupe,
Guam,
French Guiana,
Gabon,
Burundi,
Nicaragua,
Venezuela,
Angola,
Philippines,2
Honduras,
Comoros,
Mali,
Réunion,
Kazakhstan,
Guatemala,
Greenland,
Timor-Leste,
Uzbekistan,
Kyrgyzstan,
Indonesia,1
Tajikistan,
Mozambique,
Guinea-Bissau,
Central African Republic,
Congo - Kinshasa,
Turkmenistan,
Nauru,
Anguilla,
Falkland Islands (Islas Malvinas),
Christmas Island,
Micronesia,
São Tomé & Príncipe,
Tokelau,
St. Pierre & Miquelon,
Heard & McDonald Islands,
Tonga,
British Indian Ocean Territory,
Cook Islands,
Svalbard & Jan Mayen,
South Georgia & South Sandwich Islands,
Cocos (Keeling) Islands,
Kiribati,
Bouvet Island,
St. Martin,
U.S. Outlying Islands,
Monaco,
Marshall Islands,
North Korea,
Vatican City,
Montserrat,
Mayotte,
Palau,
French Southern Territories,
Pitcairn Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Antarctica,
American Samoa,
Norfolk Island,
Niue,
Eritrea,
