Country,DeepSeek
China,100
Hong Kong,30
Singapore,23
Taiwan,13
Nepal,11
Canada,11
Morocco,10
Tunisia,10
Israel,9
Kenya,9
Malaysia,8
United Arab Emirates,8
Switzerland,8
Jordan,7
Algeria,7
Norway,7
New Zealand,7
South Korea,7
Portugal,7
Sweden,7
Australia,6
United States,6
Finland,6
Spain,6
Germany,6
Netherlands,6
Egypt,6
Ireland,6
Austria,6
Denmark,5
Belgium,5
United Kingdom,5
Saudi Arabia,5
Nigeria,5
Pakistan,5
Romania,5
Argentina,4
Greece,4
Thailand,4
Bulgaria,4
Brazil,4
Russia,4
Turkey,4
Chile,4
Italy,4
Czechia,4
Colombia,3
Poland,3
Peru,3
Bangladesh,3
India,3
Hungary,3
South Africa,3
France,3
Ukraine,3
Ecuador,3
Japan,3
Iran,3
Vietnam,2
Mexico,2
Philippines,2
Indonesia,1
