Time,DeepSeek
2025-01-21T15,2
2025-01-21T16,2
2025-01-21T17,2
2025-01-21T18,3
2025-01-21T19,3
2025-01-21T20,2
2025-01-21T21,2
2025-01-21T22,2
2025-01-21T23,2
2025-01-22T00,2
2025-01-22T01,2
2025-01-22T02,2
2025-01-22T03,2
2025-01-22T04,2
2025-01-22T05,2
2025-01-22T06,2
2025-01-22T07,3
2025-01-22T08,3
2025-01-22T09,3
2025-01-22T10,3
2025-01-22T11,3
2025-01-22T12,3
2025-01-22T13,3
2025-01-22T14,3
2025-01-22T15,3
2025-01-22T16,3
2025-01-22T17,4
2025-01-22T18,4
2025-01-22T19,4
2025-01-22T20,4
2025-01-22T21,3
2025-01-22T22,3
2025-01-22T23,3
2025-01-23T00,3
2025-01-23T01,3
2025-01-23T02,3
2025-01-23T03,3
2025-01-23T04,3
2025-01-23T05,3
2025-01-23T06,3
2025-01-23T07,2
2025-01-23T08,2
2025-01-23T09,2
2025-01-23T10,2
2025-01-23T11,2
2025-01-23T12,3
2025-01-23T13,3
2025-01-23T14,3
2025-01-23T15,3
2025-01-23T16,3
2025-01-23T17,4
2025-01-23T18,4
2025-01-23T19,4
2025-01-23T20,4
2025-01-23T21,3
2025-01-23T22,4
2025-01-23T23,6
2025-01-24T00,5
2025-01-24T01,4
2025-01-24T02,3
2025-01-24T03,3
2025-01-24T04,3
2025-01-24T05,3
2025-01-24T06,3
2025-01-24T07,3
2025-01-24T08,3
2025-01-24T09,3
2025-01-24T10,3
2025-01-24T11,3
2025-01-24T12,3
2025-01-24T13,4
2025-01-24T14,4
2025-01-24T15,4
2025-01-24T16,4
2025-01-24T17,5
2025-01-24T18,5
2025-01-24T19,5
2025-01-24T20,5
2025-01-24T21,5
2025-01-24T22,4
2025-01-24T23,4
2025-01-25T00,4
2025-01-25T01,4
2025-01-25T02,4
2025-01-25T03,4
2025-01-25T04,4
2025-01-25T05,5
2025-01-25T06,5
2025-01-25T07,5
2025-01-25T08,5
2025-01-25T09,5
2025-01-25T10,5
2025-01-25T11,5
2025-01-25T12,6
2025-01-25T13,6
2025-01-25T14,6
2025-01-25T15,6
2025-01-25T16,7
2025-01-25T17,7
2025-01-25T18,6
2025-01-25T19,6
2025-01-25T20,6
2025-01-25T21,6
2025-01-25T22,6
2025-01-25T23,6
2025-01-26T00,6
2025-01-26T01,6
2025-01-26T02,6
2025-01-26T03,6
2025-01-26T04,6
2025-01-26T05,6
2025-01-26T06,6
2025-01-26T07,6
2025-01-26T08,7
2025-01-26T09,7
2025-01-26T10,7
2025-01-26T11,7
2025-01-26T12,7
2025-01-26T13,8
2025-01-26T14,9
2025-01-26T15,9
2025-01-26T16,9
2025-01-26T17,11
2025-01-26T18,12
2025-01-26T19,11
2025-01-26T20,10
2025-01-26T21,9
2025-01-26T22,9
2025-01-26T23,10
2025-01-27T00,10
2025-01-27T01,10
2025-01-27T02,11
2025-01-27T03,10
2025-01-27T04,11
2025-01-27T05,10
2025-01-27T06,10
2025-01-27T07,9
2025-01-27T08,11
2025-01-27T09,12
2025-01-27T10,13
2025-01-27T11,16
2025-01-27T12,20
2025-01-27T13,23
2025-01-27T14,26
2025-01-27T15,25
2025-01-27T16,27
2025-01-27T17,30
2025-01-27T18,34
2025-01-27T19,37
2025-01-27T20,42
2025-01-27T21,44
2025-01-27T22,50
2025-01-27T23,54
2025-01-28T00,56
2025-01-28T01,59
2025-01-28T02,66
2025-01-28T03,68
2025-01-28T04,70
2025-01-28T05,72
2025-01-28T06,74
2025-01-28T07,80
2025-01-28T08,82
2025-01-28T09,84
2025-01-28T10,87
2025-01-28T11,88
2025-01-28T12,87
2025-01-28T13,95
2025-01-28T14,93
2025-01-28T15,100
