Time,DeepSeek
2025-01-23T12,3
2025-01-23T13,3
2025-01-23T14,3
2025-01-23T15,3
2025-01-23T16,3
2025-01-23T17,3
2025-01-23T18,4
2025-01-23T19,4
2025-01-23T20,4
2025-01-23T21,3
2025-01-23T22,4
2025-01-23T23,6
2025-01-24T00,5
2025-01-24T01,4
2025-01-24T02,3
2025-01-24T03,3
2025-01-24T04,3
2025-01-24T05,3
2025-01-24T06,3
2025-01-24T07,3
2025-01-24T08,3
2025-01-24T09,3
2025-01-24T10,3
2025-01-24T11,3
2025-01-24T12,3
2025-01-24T13,4
2025-01-24T14,4
2025-01-24T15,4
2025-01-24T16,4
2025-01-24T17,4
2025-01-24T18,4
2025-01-24T19,5
2025-01-24T20,4
2025-01-24T21,4
2025-01-24T22,4
2025-01-24T23,4
2025-01-25T00,4
2025-01-25T01,4
2025-01-25T02,4
2025-01-25T03,4
2025-01-25T04,4
2025-01-25T05,5
2025-01-25T06,5
2025-01-25T07,5
2025-01-25T08,5
2025-01-25T09,5
2025-01-25T10,5
2025-01-25T11,5
2025-01-25T12,6
2025-01-25T13,6
2025-01-25T14,6
2025-01-25T15,6
2025-01-25T16,6
2025-01-25T17,6
2025-01-25T18,6
2025-01-25T19,6
2025-01-25T20,5
2025-01-25T21,5
2025-01-25T22,5
2025-01-25T23,6
2025-01-26T00,5
2025-01-26T01,6
2025-01-26T02,6
2025-01-26T03,5
2025-01-26T04,6
2025-01-26T05,6
2025-01-26T06,6
2025-01-26T07,6
2025-01-26T08,6
2025-01-26T09,6
2025-01-26T10,6
2025-01-26T11,6
2025-01-26T12,7
2025-01-26T13,8
2025-01-26T14,9
2025-01-26T15,8
2025-01-26T16,9
2025-01-26T17,10
2025-01-26T18,11
2025-01-26T19,11
2025-01-26T20,9
2025-01-26T21,9
2025-01-26T22,8
2025-01-26T23,8
2025-01-27T00,9
2025-01-27T01,10
2025-01-27T02,10
2025-01-27T03,9
2025-01-27T04,10
2025-01-27T05,9
2025-01-27T06,9
2025-01-27T07,9
2025-01-27T08,10
2025-01-27T09,11
2025-01-27T10,12
2025-01-27T11,15
2025-01-27T12,19
2025-01-27T13,22
2025-01-27T14,25
2025-01-27T15,24
2025-01-27T16,26
2025-01-27T17,28
2025-01-27T18,32
2025-01-27T19,35
2025-01-27T20,39
2025-01-27T21,41
2025-01-27T22,46
2025-01-27T23,53
2025-01-28T00,54
2025-01-28T01,60
2025-01-28T02,61
2025-01-28T03,64
2025-01-28T04,67
2025-01-28T05,70
2025-01-28T06,72
2025-01-28T07,77
2025-01-28T08,86
2025-01-28T09,82
2025-01-28T10,86
2025-01-28T11,87
2025-01-28T12,83
2025-01-28T13,83
2025-01-28T14,89
2025-01-28T15,93
2025-01-28T16,91
2025-01-28T17,96
2025-01-28T18,100
2025-01-28T19,94
2025-01-28T20,92
2025-01-28T21,87
2025-01-28T22,89
2025-01-28T23,88
2025-01-29T00,82
2025-01-29T01,82
2025-01-29T02,77
2025-01-29T03,76
2025-01-29T04,78
2025-01-29T05,78
2025-01-29T06,72
2025-01-29T07,66
2025-01-29T08,67
2025-01-29T09,65
2025-01-29T10,61
2025-01-29T11,57
2025-01-29T12,58
2025-01-29T13,60
2025-01-29T14,68
2025-01-29T15,75
2025-01-29T16,80
2025-01-29T17,82
2025-01-29T18,78
2025-01-29T19,72
2025-01-29T20,69
2025-01-29T21,65
2025-01-29T22,64
2025-01-29T23,62
2025-01-30T00,60
2025-01-30T01,61
2025-01-30T02,55
2025-01-30T03,54
2025-01-30T04,52
2025-01-30T05,49
2025-01-30T06,43
2025-01-30T07,48
2025-01-30T08,36
2025-01-30T09,39
2025-01-30T10,38
2025-01-30T11,38
2025-01-30T12,41
